articul,posicion,price_base,price_midl,deviation,percent,price_min,price_max,title
E320-B,Юбка-шорты спортивная E320-B S-XL цвета в ассортименте,524.38,'392.5,'131.88,'% 25.15,'314.0,'471.0,
LD-3601,Юбка-шорты спортивная Lingo LD-3601 S-2XL цвета в ассортименте,463.15,'316.69,'146.45,'% 31.62,'310.0,'323.38,
789S,Кроссовки Health 789S размер 37-45 цвета в ассортименте,1836.9,'1275.49,'561.41,'% 30.56,'1029.99,'1521.0,
2016,Кроссовки теннисные Health 2016 размер 37-45 белый-синий,1386.31,'1264.44,'121.86,'% 8.79,'971.89,'1557.0,
2018,Кроссовки теннисные Health 2018 размер 37-45 белый-черный,1387.88,'1266.1,'121.78,'% 8.77,'973.21,'1559.0,
MS-1222,Жилет светоотражающий NERVE MS-1222 M-4XL черный-салатовый,1006.37,'700.95,'305.41,'% 30.35,'567.91,'834.0,
CM-P106,Насос напольный ручной CIMA CM-P106,213.52,'169.0,'44.52,'% 20.85,'128.0,'210.0,
CM-P107,Насос напольный ручной CIMA CM-P107,246.49,'178.91,'67.58,'% 27.42,'153.0,'204.82,
CM-P301,Насос напольный ручной CIMA CM-P301,434.89,'273.5,'161.38,'% 37.11,'224.0,'323.0,
JC314,Насос напольный ручной SP-Sport JC314,166.42,'131.0,'35.41,'% 21.28,'102.0,'160.0,
JLA-112,Насос напольный ручной JELLO JLA-112,219.8,'142.0,'77.8,'% 35.4,'105.0,'179.0,
CM-P106-2,Насос напольный ручной с манометром CIMA CM-P106-2,328.13,'332.5,'-4.37,'% -1.33,'190.0,'475.0,
CM-P305,Насос напольный ручной с манометром CIMA CM-P305,471.0,'288.0,'183.0,'% 38.85,'232.0,'344.0,
LF1012,Чехлы для велосипедной обуви велобахилы LF1012 L-XL серый,533.79,'400.0,'133.78,'% 25.06,'323.0,'477.0,
TQ-JJW100,Чехол на сиденье велосипеда GIANT TQ-JJW100 черный,284.17,'213.0,'71.17,'% 25.04,'160.0,'266.0,
TQ-010B,Чехол на сиденье велосипеда TQ-010B черный-синий,296.73,'224.5,'72.23,'% 24.34,'179.0,'270.0,
TQ-030CR,Чехол на сиденье велосипеда TQ-030CR черный,196.25,'156.24,'40.0,'% 20.39,'105.0,'207.48,
TQ-04PT,Чехол на сиденье велосипеда TQ-04PT черный,149.15,'131.29,'17.86,'% 11.97,'95.0,'167.58,
BC-0132,Перчатки автомобильные с открытыми пальцами SP-Sport BC-0132 M-L цвета в ассортименте,67.51,'77.71,'-10.19,'% -15.11,'40.0,'115.42,
SK-01,Перчатки велосипедные велоперчатки MADBIKE SK-01 S-XL цвета в ассортименте,326.56,'201.5,'125.06,'% 38.3,'158.0,'245.0,
SK-06,Перчатки велосипедные велоперчатки MADBIKE SK-06 S-XL цвета в ассортименте,401.91,'300.5,'101.41,'% 25.23,'243.0,'358.0,
SK-13,Перчатки велосипедные велоперчатки MADBIKE SK-13 S-L цвета в ассортименте,397.21,'280.0,'117.2,'% 29.51,'237.0,'323.0,
SK-13-5,Перчатки велосипедные велоперчатки MADBIKE SK-13-5 S-XL черный-серый,414.48,'300.5,'113.98,'% 27.5,'251.0,'350.0,
MA-6234,Перчатки велосипедные велоперчатки MATSA MA-6234 XS-L цвета в ассортименте,149.15,'124.57,'24.58,'% 16.48,'81.0,'168.15,
BG08,Перчатки велосипедные велоперчатки SCOYCO BG08 S-XXL цвета в ассортименте,497.69,'348.5,'149.19,'% 29.98,'250.0,'447.0,
ВG02,Перчатки велосипедные велоперчатки SCOYCO ВG02 S-XXL цвета в ассортимента,354.82,'245.0,'109.82,'% 30.95,'174.0,'316.0,
ВG03,Перчатки велосипедные велоперчатки SCOYCO ВG03 S-XXL цвета в ассортименте,423.9,'295.0,'128.89,'% 30.41,'209.0,'381.0,
ВG06,Перчатки велосипедные велоперчатки SCOYCO ВG06 S-L цвета в ассортименте,354.82,'246.5,'108.32,'% 30.53,'174.0,'319.0,
ВG13,Перчатки велосипедные велоперчатки SCOYCO ВG13 S-XXL цвета в ассортименте,497.69,'345.5,'152.19,'% 30.58,'244.0,'447.0,
ВG14,Перчатки велосипедные велоперчатки SCOYCO ВG14 S-XXL цвета в ассортименте,381.51,'286.5,'95.01,'% 24.9,'230.0,'343.0,
VL-3232,Перчатки велосипедные велоперчатки VELO VL-3232 S-XL черный,116.18,'96.55,'19.63,'% 16.9,'62.0,'131.1,
ZG-6121,Перчатки велосипедные велоперчатки Zelart ZG-6121 S-L цвета в ассортименте,116.18,'110.0,'6.18,'% 5.32,'70.0,'150.0,
BC-0004,Перчатки для кроссфита и воркаута кожаные MATSA SPORT WorkOut BC-0004 S-XXL черный,67.51,'95.0,'-27.48,'% -40.72,'37.0,'153.0,
BC-2428,Перчатки для кроссфита и воркаута мужские UAR WorkOut BC-2428 размер S-XL черный-салатовый,434.89,'304.5,'130.38,'% 29.98,'263.0,'346.0,
BC-301,Перчатки для фитнеca SP-Sport BC-301 S-XL цвета в ассортименте,295.15,'202.5,'92.64,'% 31.39,'142.0,'263.0,
BC-307,Перчатки для фитнеca SP-Sport BC-307 M-XL цвета в ассортименте,263.76,'181.5,'82.26,'% 31.19,'128.0,'235.0,
ВС-8304,Перчатки для фитнеca ВС-8304 S-XL цвета в ассортименте,259.05,'179.5,'79.55,'% 30.71,'128.0,'231.0,
ZG-3601,Перчатки для фитнеса с эластичной манжетой Zelart ZG-3601 XS-L цвета в ассортименте,180.55,'126.22,'54.33,'% 30.09,'90.0,'162.45,
BC-4621,Перчатки спортивные SPORT BC-4621 L-XL цвета в ассортименте,120.89,'95.5,'25.39,'% 21.0,'63.0,'128.0,
ZB-01049,Перчатки спортивные кожаные Zelart WorkOut ZB-01049 L-XXL черный,133.44,'111.02,'22.42,'% 16.8,'71.0,'151.05,
AY-21,Велошлем кросс-кантри SP-Sport AY-21 цвета в ассортимент,719.06,'540.0,'179.05,'% 24.9,'434.0,'646.0,
HY032,Велошлем кросс-кантри SP-Sport HY032 цвета в ассортименте,838.38,'621.5,'216.88,'% 25.87,'490.0,'753.0,
YF-16,Велошлем кросс-кантри SP-Sport YF-16 цвета в ассортименте,791.28,'526.72,'264.55,'% 33.43,'477.0,'576.44,
HB13,Велошлем кросс-кантри Zelart HB13 цвета в ассортименте,769.3,'486.5,'282.79,'% 36.76,'428.0,'545.0,
HB31,Велошлем кросс-кантри Zelart HB31 цвета в ассортименте,819.54,'569.5,'250.03,'% 30.51,'495.0,'644.0,
SK-2861,Велошлем кросс-кантри Zelart SK-2861 L-54-56 цвета в ассортименте,628.0,'399.88,'228.12,'% 36.32,'379.0,'420.76,
MV10,Велошлем шоссейный Zelart MV10 цвета в ассортименте,582.47,'379.5,'202.97,'% 34.85,'330.0,'429.0,
SK-120S,Шлем детский Zelart SK-120S S-M-7-8лет цвета в ассортименте,659.4,'471.0,'188.39,'% 28.57,'354.0,'588.0,
SK-2018-01,Шлем детский Zelart SK-2018-01 S-M-7-8лет цвета в ассортименте,580.9,'415.0,'165.89,'% 28.56,'312.0,'518.0,
SK-2859,Шлем детский Zelart SK-2859 S-M-7-8лет цвета в ассортименте,314.0,'224.5,'89.5,'% 28.5,'169.0,'280.0,
MTV01,Шлем для экстремального спорта Кайтсерфинг Zelart MTV01 M-L-55-61 цвета в ассортименте,777.15,'565.5,'211.64,'% 27.23,'433.0,'698.0,
MTV18,Шлем для экстремального спорта Кайтсерфинг Zelart MTV18 L-55-61 цвета в ассортименте,777.15,'560.0,'217.14,'% 27.94,'422.0,'698.0,
1620,Велотреки велосипедки женские Domino 1620 M-XL черный,434.89,'272.0,'162.88,'% 37.46,'228.0,'316.0,
CO-1615,Велотреки велосипедки женские Domino CO-1615 M-XL черный,472.57,'279.2,'193.37,'% 40.92,'228.0,'330.41,
R-56,Велоформа длинный рукав ALE R-56 M-3XL камуфляж серый,1387.88,'1009.74,'378.14,'% 27.25,'773.49,'1246.0,
MS-6824-BK,Велоформа длинный рукав CHINELLI CHROME MS-6824-BK M-3XL черный-белый-красный,1402.01,'1019.52,'382.49,'% 27.28,'780.04,'1259.0,
R-29,Велоформа длинный рукав DIMENSION DATE R-29 M-3XL черный-белый-зеленый,1387.88,'1009.74,'378.14,'% 27.25,'773.49,'1246.0,
R-35,Велоформа длинный рукав MOVISTAR R-35 M-3XL темно-синий-салатовый,1387.88,'1009.74,'378.14,'% 27.25,'773.49,'1246.0,
R-122,Велоформа длинный рукав NW R-122 M-3XL черный-оранжевый,1387.88,'1009.74,'378.14,'% 27.25,'773.49,'1246.0,
R-1,Велоформа длинный рукав SCOTT R-1 M-3XL черный-желтый,1387.88,'1022.0,'365.88,'% 26.36,'798.0,'1246.0,
Y-13,Велоформа длинный рукав SKY Y-13 M-3XL белый-черный-голубой,1526.04,'1107.83,'418.21,'% 27.4,'844.67,'1371.0,
R-3,Велоформа длинный рукав SPECIALIZED R-3 M-3XL черный-белый-красный,1526.04,'1107.83,'418.21,'% 27.4,'844.67,'1371.0,
Y-5,Велоформа длинный рукав SPECIALIZED Y-5 M-3XL красный-черный-белый,1526.04,'1107.83,'418.21,'% 27.4,'844.67,'1371.0,
Y-6,Велоформа длинный рукав SPECIALIZED Y-6 M-3XL красный-черный,1387.88,'1009.74,'378.14,'% 27.25,'773.49,'1246.0,
MS-6825-BK,Велоформа длинный рукав SWITZERLAND MS-6825-BK M-3XL черный-красный,1402.01,'1019.52,'382.49,'% 27.28,'780.04,'1259.0,
NA-LJ-1404,Велоформа длинный рукав утепленная PANTHER NA-LJ-1404 XL-XXL черный-синий,1526.04,'1107.18,'418.85,'% 27.45,'843.37,'1371.0,
NA-LP-1393,Велоформа длинный рукав утепленная PANTHER NA-LP-1393 XL-XXL черный-голубой,1526.04,'1107.18,'418.85,'% 27.45,'843.37,'1371.0,
Y-197,Велоформа короткий рукав ALE Y-197 M-3XL синий-желтый-черный,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-20,Велоформа короткий рукав ALPECIN Y-20 M-3XL красный,1116.27,'816.71,'299.55,'% 26.84,'630.42,'1003.0,
Y-29,Велоформа короткий рукав BORA Y-29 M-3XL белый-черный,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
Y-65,Велоформа короткий рукав CANNONDALE Y-65 M-3XL салатовый-черный,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-36,Велоформа короткий рукав FANTINI Y-36 M-3XL красный-синий-белый,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-27,Велоформа короткий рукав FDJ Y-27 M-3XL синий-красный,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
MS-6821-BL,Велоформа короткий рукав FOX MS-6821-BL M-3XL черный-синий-желтый,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
Y-76,Велоформа короткий рукав FOX Y-76 M-3X синий-черны,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-78,Велоформа короткий рукав FOX Y-78 M-3XL красный-черный,1229.31,'894.17,'335.14,'% 27.26,'684.34,'1104.0,
Y-67,Велоформа короткий рукав GARMIN Y-67 M-3XL синий-черный-красный,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
MS-6818-R,Велоформа короткий рукав LOTTO MS-6818-R M-3XL красный-черный,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
MS-6819-BL,Велоформа короткий рукав LOTTO MS-6819-BL M-3XL синий-черный,1116.27,'816.71,'299.55,'% 26.84,'630.42,'1003.0,
Y-104,Велоформа короткий рукав MOVISTAR Y-104 M-3XL синий-зеленый,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-210,Велоформа короткий рукав ORBEA Y-210 M-3XL черный-синий-желтый,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
NA-1198,Велоформа короткий рукав PANTHER NA-1198 XL-XXL черный-серый,1116.27,'785.99,'330.28,'% 29.59,'568.98,'1003.0,
NA-1385,Велоформа короткий рукав PANTHER NA-1385 XL-XXL черный-белый-оранжевый,1116.27,'816.71,'299.55,'% 26.84,'630.42,'1003.0,
NA-1392,Велоформа короткий рукав PANTHER NA-1392 XL-XXL красный-синий,1116.27,'785.99,'330.28,'% 29.59,'568.98,'1003.0,
MS-6818-BL,Велоформа короткий рукав ROCK RACING MS-6818-BL M-3XL голубой-черный,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
MS-6819-R,Велоформа короткий рукав ROCK RACING MS-6819-R M-3XL красный-черный,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
Y-83,Велоформа короткий рукав SCOTT Y-83 M-3XL черный-желтый,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-85,Велоформа короткий рукав SCOTT Y-85 M-3X черный-красный-желтый,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-89,Велоформа короткий рукав SCOTT Y-89 M-3XL синий-черный,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-225,Велоформа короткий рукав SEGAFREDO Y-225 M-3XL черный-красный,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
Y-233,Велоформа короткий рукав SEGAFREDO Y-233 M-3XL салатовый-черный,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
MS-6820-BL,Велоформа короткий рукав SKULL MS-6820-BL M-3XL синий-белый-черный,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
Y-153,Велоформа короткий рукав SKY Y-153 M-3XL белый-черный,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-157,Велоформа короткий рукав SKY Y-157 M-3X черный-салатовый,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-128,Велоформа короткий рукав SPECIALIZED Y-128 M-3XL серый-черный,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
Y-220,Велоформа короткий рукав SPECIALIZED Y-220 M-3XL черный-белый-салатовый,1116.27,'817.37,'298.89,'% 26.78,'631.75,'1003.0,
Y-50,Велоформа короткий рукав SPECIALIZED Y-50 M-3XL черный-белый-красный,1229.31,'894.82,'334.48,'% 27.21,'685.65,'1104.0,
DR-95W,Шорты-велосипедки из хлопка SP-Planeta DR-95W 44-50 черный,263.76,'202.54,'61.22,'% 23.21,'184.08,'221.0,
BD7932,Cпортивные cолнцезащитные очки OAKLEY BD7932 цвета в ассортименте,130.31,'106.6,'23.71,'% 18.2,'65.0,'148.2,
MS-107,Cпортивные cолнцезащитные очки OAKLEY MS-107 цвета в ассортименте,78.5,'73.03,'5.46,'% 6.97,'43.0,'103.08,
YL146,Cпортивные cолнцезащитные очки OAKLEY YL146 цвета в ассортименте,91.06,'90.17,'0.89,'% 0.98,'54.0,'126.35,
BD7901,Велоочки солнцезащитные SP-Sport BD7901 цвета в ассортименте,125.6,'106.6,'19.0,'% 15.13,'65.0,'148.2,
MC5265,Велоочки солнцезащитные SP-Sport MC5265 цвета в ассортименте,163.28,'129.44,'33.84,'% 20.73,'86.0,'172.9,
MC5270,Велоочки солнцезащитные SP-Sport MC5270 цвета в ассортименте,163.28,'129.44,'33.84,'% 20.73,'86.0,'172.9,
MC5288,Велоочки солнцезащитные SP-Sport MC5288 цвета в ассортименте,163.28,'129.44,'33.84,'% 20.73,'86.0,'172.9,
8616,Очки спортивные SP-Sport 8616 цвета в ассортименте,58.09,'66.66,'-8.56,'% -14.75,'35.0,'98.32,
JH008,Очки спортивные SPOSUNE JH008 цвета в ассортименте,299.87,'224.0,'75.87,'% 25.3,'181.0,'267.0,
1297,Очки спортивные солнцезащитные SP-Sport 1297 цвета в ассортименте,92.63,'89.51,'3.11,'% 3.37,'56.0,'123.02,
3260,Очки спортивные солнцезащитные SP-Sport 3260 цвета в ассортименте,133.44,'115.52,'17.92,'% 13.43,'80.0,'151.05,
799,Очки спортивные солнцезащитные SP-Sport 799 цвета в ассортименте,92.63,'89.51,'3.11,'% 3.37,'56.0,'123.02,
BC-1207,Очки спортивные солнцезащитные SP-Sport BC-1207 цвета в ассортименте,113.04,'84.5,'28.54,'% 25.25,'65.0,'104.0,
MC-5317,Очки спортивные солнцезащитные SP-Sport MC-5317 цвета в ассортименте,138.16,'120.37,'17.78,'% 12.88,'84.0,'156.75,
MC-5332,Очки спортивные солнцезащитные SP-Sport MC-5332 цвета в ассортименте,138.16,'120.37,'17.78,'% 12.88,'84.0,'156.75,
MC-5344,Очки спортивные солнцезащитные SP-Sport MC-5344 цвета в ассортименте,138.16,'120.37,'17.78,'% 12.88,'84.0,'156.75,
MC-6656,Очки спортивные солнцезащитные SP-Sport MC-6656 цвета в ассортименте,138.16,'120.37,'17.78,'% 12.88,'84.0,'156.75,
MC5276,Очки спортивные солнцезащитные SP-Sport MC5276 цвета в ассортименте,163.28,'133.94,'29.34,'% 17.97,'95.0,'172.9,
LX9904,Очки спортивные SP-Sport Хаки LX9904 цвета в ассортименте,117.75,'99.47,'18.28,'% 15.52,'65.0,'133.95,
MS-0304-A,Моторюкзак Alpinestars MS-0304-A черный,1288.97,'883.56,'405.41,'% 31.45,'717.12,'1050.0,
MS-0309-A,Моторюкзак ALPINESTARS MS-0309-A черный хамелеон,1373.75,'988.65,'385.1,'% 28.03,'764.31,'1213.0,
MS-7006,Моторюкзак Carbon Alpinestars MS-7006 черный,2727.09,'1778.0,'949.09,'% 34.8,'1625.0,'1931.0,
MS-0311-D,Моторюкзак Carbon DAINESE MS-0311-D черный,3015.97,'2376.0,'639.96,'% 21.22,'1812.0,'2940.0,
MS-7006-D,Моторюкзак Carbon DAINESE MS-7006-D черный,2727.09,'1867.0,'860.09,'% 31.54,'1621.0,'2113.0,
MS-0311-H,Моторюкзак Carbon HARLEY MS-0311-H черный,3909.3,'2646.5,'1262.8,'% 32.3,'2353.0,'2940.0,
MS-0304-D,Моторюкзак DAINESE MS-0304-D черный,1288.97,'883.56,'405.41,'% 31.45,'717.12,'1050.0,
MS-0304-KTM,Моторюкзак KTM MS-0304-KTM черный,1288.97,'883.56,'405.41,'% 31.45,'717.12,'1050.0,
MS-0309-M,Моторюкзак MONSTER 3D MS-0309-M черный хамелеон,1373.75,'921.0,'452.75,'% 32.96,'724.0,'1118.0,
GA-1820,Моторюкзак MONSTER GA-1820 цвета в ассортименте,763.02,'484.11,'278.9,'% 36.55,'457.0,'511.22,
GA-6930,Моторюкзак MONSTER GA-6930 черный,587.18,'380.0,'207.17,'% 35.28,'311.0,'449.0,
MS-7003,Моторюкзак MONSTER MS-7003 черный,1354.91,'928.41,'426.5,'% 31.48,'753.82,'1103.0,
MS-0305,Моторюкзак TAICHI MS-0305 цвета в ассортименте,1496.21,'930.22,'565.99,'% 37.83,'826.45,'1034.0,
MS-5481-2,Моторюкзак однолямочный BMW MS-5481-2 цвета в ассортименте,405.06,'278.0,'127.06,'% 31.37,'244.0,'312.0,
MS-5481-6,Моторюкзак однолямочный HONDA MS-5481-6 черный-красный,405.06,'268.0,'137.06,'% 33.84,'223.0,'313.0,
